id	x	y	cluster	weight<Links>	weight<Total link strength>
baffin bay	-0.6328	-0.031	1	111	1627
baffin island	-0.6287	-0.0533	1	95	791
bakaninbreen	-0.3339	0.0014	13	5	16
balleny islands	1.1088	-0.0124	10	25	63
banks island	-0.6759	-0.0558	1	59	239
baranowski glacier	1.082	0.0516	2	7	19
barents sea	-0.9318	0.0108	3	139	4223
barents sea opening	-0.8881	-0.0405	14	28	138
barentsburg	-0.9205	0.0397	3	21	81
barentsoya	-0.9007	0.0621	7	18	77
barilari bay	1.1873	0.0344	2	5	9
barrientos island	1.3779	0.0954	18	2	2
barrow strait	-0.5729	-0.0411	1	24	115
barton peninsula	1.0494	0.0408	2	11	56
bathurst island	-0.6657	-0.0423	1	18	70
battye glacier	1.0031	-0.0333	5	9	37
bay of whales	0.9849	-0.0083	8	7	8
bear island_antarctic	-0.8665	0.0416	7	15	22
bear island_arctic	-0.8776	0.0388	7	56	437
beardmore glacier	0.9743	-0.0117	8	24	68
beaufort island	0.9543	-0.0146	8	11	34
beaufort sea	-0.7265	-0.0763	1	116	2415
beaver island	1.0906	-0.0426	5	3	3
bechervaise island	1.3111	-0.0697	22	4	13
beechey island	-0.4971	-0.0424	1	8	10
belcher islands	-0.6791	-0.0867	1	13	40
belkovsky island	-0.9854	-0.0977	6	1	1
bellinghausen sea	1.0834	0.018	4	13	22
bellingshausen island	1.1727	0.0201	2	5	5
bennett island	-0.9704	-0.0942	6	17	31
bering glacier	-0.2758	-0.0108	13	10	27
bering sea	-0.5939	-0.1155	11	95	2015
bering strait	-0.7054	-0.1056	11	81	1308
berkner island	0.9282	-0.0002	4	14	43
berthelot islands	1.1158	0.0459	2	4	4
big island	-0.6628	-0.0792	1	5	5
bilibino	-0.9051	-0.0208	3	5	6
bindschadler ice stream	0.9555	-0.0034	4	16	40
bird island	1.1541	0.0238	2	16	54
black rapids glacier	-0.9083	0.1622	7	1	2
bodo	-0.9769	0.0224	3	4	14
bolingen islands	1.0652	-0.0367	5	6	14
bounty islands	1.149	-0.016	10	8	24
bouvet island	1.105	-0.0046	10	26	74
bowdoin fjord	-1.5744	0.4203	17	2	3
bowdoin glacier	-1.5741	0.4202	17	2	9
boyd strait	1.164	0.0401	2	9	11
bransfield strait	1.143	0.0359	2	57	810
bratina island	0.8468	-0.0147	8	7	19
bristol bay	-0.549	-0.1239	11	19	106
british antarctic territory	1.1928	0.0245	2	4	4
brooks range	-0.6527	-0.1152	11	34	301
brown peninsula	0.8585	-0.0139	8	6	7
brunt ice shelf	1.0057	0.0041	4	13	31
buchanbreen	-0.9788	0.1674	7	3	3
byers peninsula	1.1834	0.0441	2	18	162
bylot island	-0.6514	-0.0435	1	26	111
byrd glacier	0.9261	-0.008	8	28	91
cambridge bay	-0.6615	-0.0472	1	19	69
camp century	-0.6456	0.0079	9	6	49
campbell island	1.155	-0.0154	10	18	91
canada basin	-0.8499	-0.0892	6	68	1265
canada glacier	0.8612	-0.0167	8	14	49
canadian arctic archipelago	-0.6766	-0.0495	1	104	1670
candlemas island	1.1764	0.021	2	6	9
cape bathurst	-0.6451	-0.0647	1	22	73
cape york	-0.6452	-0.0044	9	6	10
carey island	-0.6755	-0.0386	1	5	8
casey bay	1.0892	-0.0422	5	8	12
charcot island	1.1283	0.0292	2	12	20
chisasibi	-0.6959	-0.1188	1	1	1
chukchi borderland	-0.8506	-0.0854	6	41	163
chukchi plateau	-0.8693	-0.0907	6	36	196
chukchi sea	-0.8117	-0.1056	6	86	2282
chukchi sea shelf	-0.846	-0.111	6	47	592
chukotka autonomous okrug	-0.8602	-0.0723	6	72	464
citronen fjord	-1.2766	0.4594	28	1	5
coats island	-0.6485	-0.0694	1	15	53
coats land	0.9466	-0.0039	4	25	91
cockburn island	1.1585	0.0144	2	10	25
collins bay	0.674	0.0197	2	6	12
collins glacier	1.0317	0.0367	2	10	30
columbia glacier	-0.2888	-0.0071	13	7	15
comfortlessbreen	-1.1832	0.1803	23	1	4
committee bay	-0.5533	-0.0555	1	6	10
commonwealth bay	1.0758	-0.0259	5	10	31
cooperation sea	1.0921	-0.0369	5	10	29
cornwall island	-0.7278	-0.0352	1	4	4
cornwallis island	-0.6481	-0.0376	1	24	108
cosmonauts sea	1.0945	-0.0377	5	2	2
coulman island	1.0006	-0.0059	8	17	34
courbet peninsula	1.1361	0.0102	10	1	2
creswell bay	-0.5538	-0.0339	1	11	23
croker passage	1.1373	0.0324	2	10	19
crozet islands	1.1183	0.0129	10	17	82
cumberland sound	-0.6078	-0.0545	1	22	115
darnley bay	-0.6912	-0.0586	1	8	9
darwin glacier	0.9669	-0.0135	8	15	39
david glacier	0.8757	-0.0161	8	10	22
davis sea	1.0748	-0.0315	5	18	37
davis strait	-0.6469	-0.0351	1	84	790
de long islands	-0.9679	-0.094	6	20	43
deception island	1.1188	0.0424	2	48	352
denmark strait	-0.5652	0.0668	12	53	556
devicq glacier	1.0544	0.013	4	8	15
devon island	-0.555	-0.0356	1	58	259
dewart island	1.0648	-0.0294	5	4	4
diego ramirez islands	1.1003	0.0184	10	5	7
dikson	-0.906	-0.0019	3	12	12
diomede island	-0.5297	-0.1137	11	9	26
disappointment island	1.1696	-0.0172	10	1	1
discovery bay	0.7678	-0.0095	4	4	8
disko bay	-0.5895	0.0124	9	43	260
disko island	-0.6909	0.0436	9	30	201
dixon entrance	-0.5395	-0.1254	11	3	9
dmitry laptev strait	-0.9689	-0.1016	6	4	9
dolleman island	0.9439	0.0016	4	4	14
dotson ice shelf	1.0529	0.0128	4	9	22
doumer island	1.1203	0.0309	2	6	10
drake passage	1.1277	0.0243	2	69	962
drangajokull	-0.3375	0.112	12	6	14
drygalski glacier	1.0951	0.0107	2	10	22
dundas	-0.6727	-0.0239	9	12	22
east antarctic ice sheet	0.9808	-0.0184	8	81	848
east antarctica	1.0686	-0.0351	5	147	3160
east bay	-0.6464	-0.0639	1	5	21
east ongul island	1.0752	-0.0602	25	3	6
east siberian sea	-0.9297	-0.0915	6	77	983
east siberian shelf	-0.9469	-0.0956	6	27	107
edgeoya	-0.9043	0.0641	7	29	142
ekstrom ice shelf	0.8007	-0.0059	4	10	15
elephant island	1.1754	0.0389	2	38	355
ellef ringnes island	-0.7341	-0.0452	1	23	68
ellesmere island	-0.6909	-0.0464	1	108	1001
ellsworth land	1.0858	0.0162	4	26	76
elwin bay	-0.5509	-0.0353	1	4	5
enderby island	1.1682	-0.0171	10	2	28
enderby land	1.0894	-0.041	5	45	175
erebus bay	-0.2101	-0.0395	1	8	37
etah	-0.6779	-0.0174	9	3	7
eurasian basin	-0.9067	-0.0685	6	62	913
eureka	-0.7126	-0.0353	1	36	210
eyjafjallajokull	-0.3462	0.1111	12	15	31
faroe islands	-0.4486	0.1014	12	31	191
fauske	-0.9816	0.021	3	1	3
ferrar glacier	0.9213	-0.0181	8	17	35
fildes peninsula	1.0412	0.037	2	25	162
fimbul ice shelf	0.7204	-0.0093	4	12	34
finnmark	-0.9717	0.0176	3	40	267
flandres bay	1.1885	0.0346	2	4	5
fleming fjord	-1.2697	0.4677	29	1	11
forlandsundet	-0.8584	0.077	7	11	54
fort conger	-0.6865	-0.0596	1	5	9
fosheim peninsula	-0.7038	-0.0494	1	12	49
foundation ice stream	0.941	-0.0024	4	18	39
foxe basin	-0.6218	-0.0649	1	39	235
fram strait	-0.8069	-0.0161	14	88	2399
franklin bay	-0.6866	-0.06	1	19	64
franz josef land	-0.9327	-0.01	3	82	609
fridtjovbreen	-0.9446	0.1391	7	5	15
frigg fjord	-0.8011	-0.0039	15	2	2
frobisher bay	-0.6473	-0.0614	1	33	74
gakkel ridge	-0.9128	-0.0647	6	42	336
galindez island	1.1094	0.0446	2	9	13
george v land	1.0701	-0.0248	5	26	115
george vi ice shelf	1.0916	0.0202	2	13	46
gerlache strait	1.1682	0.0327	2	29	187
getz ice shelf	1.0552	0.0129	4	18	45
gibbs island	1.1813	0.0423	2	6	7
graham land	1.1602	0.0317	2	26	71
greenland	-0.6179	0.0855	9	325	12425
greenland ice sheet	-0.4129	0.0713	9	123	2965
greenland sea	-0.7776	0.047	14	89	2254
greenwich island	0.7631	-0.0099	4	4	14
grimsey	-0.747	0.0801	12	3	13
grovabreen	-0.7456	0.157	9	1	1
gulf of alaska	-0.466	-0.0963	11	45	697
hammerfest	-0.9545	0.0217	3	17	95
hans glacier	-0.9721	0.1643	7	13	94
hardangerjokulen	-0.7461	0.1574	9	3	5
haswell island	1.2592	-0.0735	5	1	1
hatherton glacier	0.9657	-0.0118	8	16	27
heimaey	-0.2993	0.1081	12	4	10
heiss island	-0.8979	0.0032	3	12	21
helheim glacier	-0.2381	0.0086	13	8	124
henrietta island	-0.9711	-0.0944	6	11	17
herald island	-0.8941	-0.1084	6	4	5
herschel island	-0.6294	-0.0547	1	16	74
hofsjokull	-0.334	0.1117	12	9	19
holtedahlfonna	-0.883	0.1213	7	11	37
honningsvag	-0.9773	0.023	3	5	5
hop island	1.061	-0.0357	5	4	7
hope bay	1.1602	0.0306	2	20	81
hopen	-0.8937	0.0536	7	23	76
hornbreen	-0.9656	0.1592	7	5	13
hornsund	-0.8967	0.1276	7	40	510
horseshoe island	1.1613	0.0313	2	5	8
hubbard glacier	-0.2943	-0.0091	13	10	13
hudson bay	-0.6753	-0.0972	1	95	963
hudson strait	-0.6244	-0.0647	1	58	531
humboldt glacier	-0.0002	-0.0003	16	4	10
hurd peninsula	1.1599	0.0456	2	11	53
icy strait	-0.4648	-0.1061	11	1	4
ile aux cochons	1.1187	0.013	10	2	2
ile de la possession	1.1174	0.013	10	11	15
ilulissat	-0.3868	0.0331	9	46	571
ilulissat icefjord	-0.4463	0.0272	9	6	36
inaccessible island	0.8461	-0.019	8	2	2
inari	-0.9835	0.0104	3	10	39
inglefield land	-0.6759	-0.0184	9	8	35
institute ice stream	0.9562	-0.0028	4	14	30
inuvik	-0.7188	-0.044	1	31	84
isachsen	-0.7372	-0.0347	1	20	47
isfjord	-0.6959	0.0644	9	26	94
jakobshavn glacier	-0.3493	0.0245	9	33	443
james bay	-0.6674	-0.0782	1	25	78
james ross island	1.1731	0.0262	2	45	311
jan mayen	-0.7281	0.0741	12	55	438
jason peninsula	1.167	0.0274	2	5	11
jeannette island	-0.9728	-0.0953	6	10	20
jenny lind island	-0.6792	-0.0722	1	1	1
jetty peninsula	1.2586	-0.0745	5	1	3
jostedalsbreen	-0.7452	0.1565	9	5	14
jutulstraumen glacier	0.7579	-0.0117	4	3	6
kaiser wilhelm ii land	1.0687	-0.0383	5	8	11
kamb ice stream	0.9705	-0.0024	4	27	164
kandalaksha	-0.9958	0.0064	3	9	33
kandalaksha gulf	-1.0496	0.0017	3	11	183
kane basin	-0.6594	-0.0421	1	29	108
kangaatsiaq	-0.6011	0.047	9	6	9
kangerlussuaq fjord	-0.6717	0.0845	12	7	29
kara sea	-0.9889	-0.0316	3	93	1681
kara shelf	-0.9962	-0.035	3	27	133
karesuando	-0.935	0.011	3	1	1
kemp land	1.0769	-0.0412	5	11	30
kerguelen islands	1.1287	0.0102	10	34	148
khalmyer bay	-1.1178	-0.0095	27	2	2
khatanga	-0.976	-0.08	6	32	101
kilpisjarvi	-0.9646	0.0138	3	7	34
king george island	1.0083	0.0385	2	79	1467
king william island	-0.4609	-0.045	1	25	36
kirkenes	-0.9636	0.0154	3	11	16
kiruna	-0.925	0.007	3	29	70
kitikmeot	-0.58	-0.0518	1	16	30
kittila	-0.9808	0.0105	3	9	23
kivalliq	-0.55	-0.0538	1	12	22
kola	-0.9722	0.0059	3	67	728
kola bay	-0.9981	0.007	3	7	37
kolari	-0.983	0.0106	3	3	10
kolbeinsey	-0.7367	0.08	12	19	109
kolyuchin bay	-0.8685	-0.1108	6	5	5
kong karls land	-0.9007	0.0606	7	25	83
kongsfjord	-0.7044	0.063	7	21	120
kongsfjorden	-0.8087	0.0929	7	49	643
kongsvegen glacier	-0.8794	0.1445	7	12	91
krasnoyarsk krai	-0.9814	-0.0814	6	1	1
kronebreen	-0.8894	0.142	7	10	66
kuparuk river basin	-0.7533	-0.1636	11	2	17
kvitoya	-0.9192	0.0733	7	13	39
labrador	-0.7177	-0.0461	1	75	306
labrador sea	-0.6316	-0.0194	1	89	1524
lady franklin bay	-0.6849	-0.0592	1	9	18
lake vostok	1.0004	-0.011	4	26	76
lake whillans	0.9742	-0.0031	4	11	45
lambert glacier	0.9573	-0.0269	5	37	203
lancaster sound	-0.6129	-0.0469	1	57	343
langfjordjokelen	-0.9826	0.0198	3	2	2
langjokull	-0.3365	0.1114	12	9	21
lapland	-0.9769	0.0106	3	20	127
laptev sea	-0.9452	-0.0807	6	73	1443
larsen ice shelf	1.1036	0.0157	2	47	230
laurie island	1.1501	0.0311	2	15	44
lazarev sea	1.0632	-0.022	5	15	77
leverett glacier	-0.5128	0.2363	21	3	24
lincoln sea	-0.6533	-0.0469	1	45	152
litchfield island	1.4188	0.0431	26	1	1
little cornwallis island	-0.6792	-0.0727	1	1	2
little diomede island	-0.5285	-0.1137	11	8	20
livingston island	1.1612	0.0418	2	50	513
lomonosov ridge	-0.8793	-0.0738	6	57	862
lomonosovfonna	-0.8888	0.1178	7	13	69
long strait	-0.9566	-0.0977	6	18	41
longyearbreen	-0.921	0.067	7	4	14
longyearbyen	-0.9023	0.047	3	46	351
lovozero	-0.9681	0.0141	3	15	171
lutzow-holm bay	1.0785	-0.045	5	14	99
mac robertson land	1.0697	-0.0397	5	22	79
macayeal ice stream	0.9621	-0.0014	4	7	21
mackenzie delta	-0.7113	-0.0521	1	40	211
macquarie island	1.1352	-0.0013	10	37	180
magnetic island	1.3115	-0.0698	22	2	3
makarov basin	-0.8909	-0.077	6	50	546
marguerite bay	1.131	0.0305	2	47	301
marian cove	0.7081	0.0217	2	8	43
marie byrd land	1.0426	0.0053	4	57	478
marion island	1.0993	0.0167	10	33	219
matanuska glacier	-0.9657	0.1641	7	5	5
mawson sea	1.0674	-0.0318	5	5	5
maxwell bay_antarctic	0.5687	0.0142	2	28	140
maxwell bay_arctic	-0.218	-0.0228	1	11	14
mcintyre island	1.1034	-0.0457	5	2	2
mcmurdo dry valleys	0.8919	-0.0165	8	43	420
mcmurdo ice shelf	0.8359	-0.0145	8	26	136
mcmurdo sound	0.8035	-0.0159	8	61	585
meighen island	-0.6726	-0.0592	1	11	20
melville bay	-0.6513	-0.0106	9	18	53
melville island	-0.6737	-0.0445	1	31	121
melville peninsula	-0.5207	-0.0505	1	23	45
mendeleev ridge	-0.8777	-0.0758	6	45	307
mertz glacier	1.0792	-0.0261	5	22	120
midtre lovenbreen	-0.5588	0.0771	7	11	102
milne ice shelf	-0.7366	-0.0603	1	2	3
milne land	-0.4954	0.165	12	3	23
mitchell peninsula	1.0851	-0.03	5	2	3
mittivakkat glacier	-0.2054	0.0289	13	9	41
moller ice stream	0.9532	-0.0036	4	12	23
molloy deep	-0.9708	0.0673	14	10	49
montagu island	1.1881	0.0214	2	6	8
moose river	-0.7051	-0.1286	1	2	3
mossman peninsula	1.1555	0.0317	2	3	4
muller ice shelf	1.1605	0.0306	2	5	8
murmansk	-0.969	0.001	3	44	283
murmansk oblast	-0.9797	0.0014	3	11	86
myrdalsjokull	-0.3352	0.1117	12	6	18
nansen basin	-0.8434	-0.052	6	45	429
nansen ice sheet	0.8243	-0.0166	8	8	24
nares strait	-0.5317	-0.0356	1	52	432
narvik	-0.9299	0.0085	3	11	16
nathorstbreen	-0.8929	0.1424	7	5	11
naujaat	-0.5716	-0.0568	1	16	31
nelson island	1.0865	0.0297	2	15	53
nenets autonomous okrug	-0.9816	0.0022	3	2	5
new siberian islands	-0.9704	-0.0931	6	51	279
nikel	-0.9504	-0.0004	3	11	23
nord	-0.8381	0.0548	9	6	37
nordaustlandet	-0.9186	0.1071	7	28	216
nordenskioldbreen	-0.9271	0.1422	7	4	25
nordfjord	-0.7444	0.1551	9	5	14
nordland	-0.9776	0.0206	3	12	71
nordvik	-1.0541	-0.1097	6	5	19
norilsk	-0.9342	-0.0146	3	25	46
norrbotten	-0.9557	0.0084	3	7	16
northwest territories	-0.6674	-0.0564	1	83	629
norwegian sea	-0.7907	0.0292	12	82	1303
novaya zemlya	-0.9557	-0.0286	3	82	795
nuiqsut	-0.8304	-0.1448	11	4	14
nunavik	-0.6481	-0.0671	1	23	145
nunavut	-0.6545	-0.0551	1	109	1262
nunivak island	-0.5386	-0.1182	11	15	39
nuuk	-0.6355	0.0453	9	33	280
nuussuaq	-0.6802	0.062	9	22	95
ny-alesund	-0.7525	0.0363	7	46	567
oates land	1.0567	-0.023	5	15	31
onega bay	-1.0449	0.0055	3	9	57
oygarden group	1.079	-0.0422	5	3	9
palmer archipelago	1.1136	0.0219	2	25	50
palmer land	1.1249	0.0258	2	20	99
paulabreen	-0.3478	0.0039	13	3	10
paulatuk	-0.6908	-0.0569	1	11	20
paulet island	1.1817	0.0235	2	5	6
peary land	-0.7987	-0.0045	15	9	49
pechenga	-0.9848	0.009	3	13	76
pechora sea	-0.9826	-0.015	3	28	127
pelly bay	-0.5644	-0.0548	1	8	8
penguin island	1.1508	0.05	2	11	36
penny strait	-0.6564	-0.0499	1	10	12
peter i island	1.1193	0.0184	4	14	30
petermann fjord	-0.1786	-0.0173	16	15	37
petermann glacier	0.0124	-0.008	16	22	95
petermann island	1.102	0.0409	2	5	9
pevek	-0.9596	-0.0931	6	5	6
pine island bay	1.062	0.0129	4	32	209
pine island glacier	1.0035	0.0058	4	38	295
pingvin island	1.076	-0.0359	5	4	5
point hope	-0.7584	-0.1126	11	16	42
pond inlet	-0.6611	-0.0432	1	13	23
potter cove	1.0381	0.0419	2	24	240
potter peninsula	1.1412	0.037	2	13	61
priestley glacier	0.8399	-0.0167	8	8	18
prince charles island	-0.6464	-0.0717	1	4	5
prince edward islands	1.0176	0.0224	10	16	159
prince gustav channel	1.1656	0.0222	2	14	52
prince leopold island	-0.6434	-0.0683	1	10	26
prince of wales island	-0.4701	-0.0402	1	25	50
prince patrick island	-0.7015	-0.0576	1	14	19
princess elizabeth land	1.0654	-0.0342	5	23	85
prins karls forland	-0.8378	0.0641	7	15	59
prudhoe bay	-0.7712	-0.0868	11	26	191
prydz bay	1.057	-0.0333	5	61	548
pyramiden	-0.9239	0.0521	3	8	31
qaanaaq	-0.6776	-0.0162	9	74	404
qasigiannguit	-0.5997	0.0473	9	4	5
qeqertaq	-1.2834	0.4508	30	1	1
qeqertarsuaq	-0.7033	0.0408	9	14	82
queen elizabeth islands	-0.7007	-0.0483	1	39	152
queen mary land	1.0862	-0.0166	10	9	10
queen maud land	0.9331	-0.0217	4	63	632
rauer islands	1.0605	-0.036	5	10	34
reedy glacier	0.9668	-0.0124	8	8	14
rennick glacier	0.935	-0.0136	8	11	23
resolute bay	-0.6854	-0.0321	1	54	183
resolution island	-0.6635	-0.0726	1	8	19
richards island	-0.7108	-0.0543	1	6	29
riiser-larsen ice shelf	1.0148	0.0039	4	6	9
robert island	1.0467	0.0347	2	13	24
roosevelt island	0.9552	-0.0059	4	20	53
ross archipelago	1.1865	0.0261	2	6	10
ross dependency	1.0729	-0.0153	10	23	37
ross ice shelf	0.8828	-0.0092	8	75	650
ross island	0.8886	-0.0048	8	54	397
ross sea	0.9712	-0.0151	8	140	2909
rupert bay	-0.796	-0.2115	20	1	1
rupert river	-0.7959	-0.2113	20	2	2
russell glacier	-0.518	0.24	21	4	55
russian continental shelf	-0.846	-0.0646	6	6	6
rutford ice stream	0.9249	-0.001	4	16	53
ryder bay	1.0436	0.0378	2	9	62
sachs harbour	-0.6578	-0.0543	1	18	36
saint paul island	1.1405	0.0018	10	1	5
sakha republic	-0.7692	-0.0542	19	16	28
salmon bay	0.8115	-0.0173	8	1	2
sapmi	-0.9707	0.0093	3	6	10
saqqaq	-0.6646	0.0142	9	11	27
saunders island	1.1886	0.0214	2	4	6
scoresby sound	-0.6883	0.0073	9	12	29
scotia sea	1.1543	0.0181	2	54	750
scott glacier	0.9757	-0.0136	8	7	16
scott island	1.1161	-0.0146	10	4	12
seal island	1.1991	0.0453	2	2	8
sermilik	-0.1455	0.0205	13	12	97
severnaya zemlya	-0.9227	-0.0455	3	52	318
severny island	-0.9945	-0.0374	3	5	7
seward peninsula	-0.3584	-0.0737	11	29	141
seymour island	1.1827	0.0257	2	26	202
shackleton glacier	0.9686	-0.0123	8	13	27
shackleton ice shelf	1.0483	-0.0277	5	10	12
shag rocks	1.169	0.0189	2	23	72
shelikof strait	-0.4863	-0.112	11	4	67
shirase glacier	1.0742	-0.0461	5	5	15
siberia	-0.9034	-0.0721	6	146	3811
siberian shelf	-0.95	-0.0968	6	36	303
signy island	1.1012	0.0297	2	35	191
siple dome	0.9411	-0.0038	4	27	135
sisimiut	-0.659	0.0568	9	16	120
slessor glacier	0.949	-0.0034	4	11	25
smith island	1.175	0.0415	2	15	42
snaefellsjokull	-0.3556	0.1107	12	3	4
snares islands	1.1508	-0.0162	10	9	34
snow hill island	1.1799	0.028	2	10	51
snow island	1.1938	0.0437	2	8	13
sobral peninsula	1.2183	0.03	2	2	3
sodankyla	-0.9194	0.0135	3	34	130
solovetsky islands	-1.0501	0.0043	3	5	10
somerset island	-0.5346	-0.0351	1	33	95
somov sea	1.0923	-0.0258	5	5	9
sorsdal glacier	1.0455	-0.0085	5	9	18
south bay_antarctic	1.1242	0.0314	2	7	16
south orkney islands	1.144	0.0279	2	62	452
south shetland islands	1.0756	0.0339	2	107	2184
southampton island	-0.6433	-0.0662	1	22	82
southern ocean	1.0702	0.0023	10	182	4643
southern thule	1.1831	0.0216	2	12	20
spitsbergen	-0.8112	0.0822	7	151	3288
st lawrence island	-0.5979	-0.1428	11	4	8
st matthew island	-0.5398	-0.1195	11	2	2
stolbovoy island	-0.9852	-0.0887	6	3	4
stonington island	1.1608	0.0308	2	6	7
storbreen	-1.0017	0.1786	7	5	6
store glacier	-0.5927	0.0586	9	3	25
storfjorden	-0.9075	0.0639	7	29	219
stornes peninsula	1.0636	-0.0371	5	6	12
summit camp	0.0673	0.0984	31	3	15
surtsey	-0.2991	0.1077	12	11	16
svalbard	-0.8362	0.0777	7	220	5878
sverdrup island	-1.0145	-0.037	3	3	6
tabarin peninsula	1.1831	0.0248	2	7	10
taylor glacier	0.9103	-0.0178	8	16	86
taylor valley	0.9162	-0.0168	8	23	268
taymyr peninsula	-0.9623	-0.0273	3	29	111
terra nova bay	0.907	-0.0192	8	52	543
thurston island	1.0851	0.0151	4	19	99
thwaites glacier	0.9934	0.0127	4	33	242
thwaites ice shelf	1.0071	0.0143	4	3	8
tiksi	-0.896	-0.0663	6	25	56
tindfjallajokull	-0.3616	0.1101	12	6	8
tonagh island	1.1199	-0.0514	5	2	10
torfajokull	-0.3538	0.1105	12	9	20
totten glacier	1.019	-0.0112	4	18	66
traill island	-1.2628	0.4758	24	1	3
transantarctic mountains	0.9561	-0.0145	8	69	933
transpolar drift stream	-0.9153	-0.0804	6	53	489
trapridge glacier	-0.3006	-0.0068	13	7	7
trinity peninsula	1.1534	0.0323	2	25	67
troms	-0.9752	0.0194	3	22	106
tromso	-0.9314	0.0214	3	51	260
tucker glacier	0.9771	-0.0293	8	4	6
tuktoyaktuk	-0.697	-0.0549	1	36	116
tungnafellsjokull	-0.3379	0.1128	12	1	1
tyrolerfjord	-0.2892	0.0563	13	8	18
ulu peninsula	1.189	0.0285	2	11	35
ulukhaktok	-0.6717	-0.0544	1	12	28
ungava	-0.6666	-0.0761	1	30	147
ungava bay	-0.6626	-0.0761	1	28	173
ungava peninsula	-0.6641	-0.0754	1	12	44
union glacier	0.7285	-0.0131	4	9	13
upernavik isstrom	-0.5962	0.0753	9	5	18
utqiagvik	-0.7708	-0.1026	11	84	1098
utsjoki	-0.9807	0.0104	3	9	20
uummannaq	-0.6266	0.0135	9	21	105
vadso	-0.9656	0.013	3	8	19
varangerfjord	-0.9793	0.0111	3	12	25
vardo	-0.9625	0.0152	3	12	15
variegated glacier	-0.908	0.162	7	3	4
vatnajokull	-0.3382	0.112	12	13	51
vaygach island	-0.9726	-0.0382	3	17	46
vega island	1.1864	0.0271	2	14	84
vestfold hills	1.0143	-0.0263	5	41	235
vestfonna	-0.9203	0.1256	7	8	42
veteranen	-1.0474	0.175	7	2	2
victoria island	-0.6918	-0.0456	1	59	203
victoria land	0.9521	-0.015	8	73	1097
vorkuta	-0.9412	-0.0137	3	4	5
wager bay	-0.6011	-0.0612	1	6	6
wainwright	-0.8304	-0.1433	11	8	28
walker bay	1.204	0.0506	2	3	5
wandel sea	-0.79	-0.0093	15	18	59
weddell sea	0.9293	0.0009	4	140	2598
west antarctic ice sheet	0.9546	0.0032	4	84	1076
west antarctica	0.9973	0.0079	4	141	2579
west ice shelf	1.0715	-0.0358	5	24	32
whalers bay	1.1528	0.0491	2	6	14
whillans ice stream	0.9709	-0.0016	4	27	196
white sea	-1.0271	0.0013	3	66	670
white sea throat	-1.0523	0.0049	3	2	4
wilczek land	-0.9636	-0.0112	3	1	1
