id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<no patents>	score<평균출원연도>	weight<출원인국가 미국>	weight<출원인국가 중국>	weight<출원인국가 대한민국>	weight<출원인기관 DAEWOO>	weight<출원인기관 KIOST>	weight<출원인기관 CONOCOPHILLIPS>	weight<출원인기관 PRIC>	weight<출원인기관 AWI>
arctic char	Arctic Char	-0.7978	-0.2345	3	6	36	5	2003.4	1.785714286	0	0	0	0	0	0	0
arctic circle	Arctic Circle	-0.0015	0.043	1	17	42	5	2008.6	0	1.886792453	0	0	0	0	0	0
arctic climate	Arctic Climate	-0.0044	-0.0135	1	12	52	10	2012.1	2.380952381	0	0	0	0	0	0	0
ARCTIC CONDITION	Arctic Condition	0.1551	-0.0515	1	82	324	28	2004.964286	1.785714286	0.628930818	1.307189542	1.587301587	0	0	0	0
arctic drill	Arctic Drill	0.523	0.0501	9	27	182	9	2010.111111	3.571428571	0	1.960784314	3.174603175	0	5.263157895	0	0
arctic drill ship	Arctic Drill Ship	0.4072	0.1003	9	15	168	6	2011	1.19047619	0	3.921568627	6.349206349	0	0	0	0
arctic drilling platform	Arctic Drilling Platform	1.6054	-0.7103	7	22	546	13	2008.461538	2.976190476	0	0	0	0	0	0	0
arctic environment	Arctic Environment	0.471	-0.0349	4	35	164	20	2008.4	3.571428571	0.628930818	1.960784314	3.174603175	0	0	0	0
Arctic fox	Arctic Fox	-0.4265	-0.0643	2	26	68	8	2011.75	0	2.51572327	0	0	0	0	0	0
Arctic Ocean	Arctic Ocean	-0.0459	-0.0721	1	71	256	25	2011.48	1.19047619	0.628930818	7.843137255	1.587301587	14.89361702	5.263157895	2.941176471	0
ARCTIC OFFSHORE REGION	Arctic Offshore Region	0.5697	-0.0213	4	7	70	5	2014	2.380952381	0	0	0	0	0	0	0
ARCTIC PLATFORM	Arctic Platform	1.4921	-0.6562	7	30	578	17	2006.235294	3.571428571	0	0	0	0	0	0	0
arctic pole	Arctic Pole	-0.1795	0.013	1	25	76	7	2011.428571	0	0.628930818	1.307189542	0	0	0	0	0
arctic region	Arctic Region	0.0188	0.2364	4	129	720	57	2010.491228	5.357142857	0	5.882352941	12.6984127	0	0	0	0
arctic sea	Arctic Sea	0.124	-0.0666	1	43	188	15	2010.533333	0	0	0.653594771	0	0	0	0	0
arctic shelf	Arctic Shelf	0.1931	-0.0264	1	37	130	9	2003.777778	0	0	0	0	0	0	0	0
arctic ship	Arctic Ship	0.2257	0.0183	9	50	256	28	2013.714286	1.19047619	0	17.64705882	36.50793651	0	0	0	0
arctic tundra	Arctic Tundra	0.1087	-0.2513	6	16	128	7	2006.571429	0	0	0	0	0	0	0	0
arctic vessel	Arctic Vessel	0.2034	-0.0187	1	90	484	33	2013.848485	2.976190476	0	16.99346405	36.50793651	0	0	0	0
arctic weather	Arctic Weather	-0.159	-0.0309	1	13	30	5	2017.6	0	1.257861635	0	0	0	0	0	0
Arctic zone	Arctic Zone	0.3452	0.2022	4	36	122	14	2007.214286	0	0	0.653594771	0	0	0	0	0
arctic-alpine area	Arctic-Alpine Area	-0.1014	-0.0095	1	16	40	6	2013.666667	0	0	0	0	0	0	0	0
Artic	Artic	-0.2858	-0.3103	6	29	102	5	2003.8	1.785714286	0	1.307189542	3.174603175	0	0	0	0
ARTIC VESSEL	Artic Vessel	0.1029	0.0007	1	28	96	7	2014.857143	0	0	4.575163399	11.11111111	0	0	0	0
assembled drilling platform	Assembled Drilling Platform	1.6032	-0.7098	7	22	546	13	2008.461538	2.976190476	0	0	0	0	0	0	0
assembly	Assembly	0.1441	-0.1624	6	40	202	11	2012.272727	0	0	0	0	0	0	0	0
astaxanthin	Astaxanthin	-0.535	-0.0381	2	111	496	25	2014.48	0	5.660377358	0	0	0	0	0	0
AstroMelanin	Astromelanin	-0.598	-0.1819	3	8	48	6	1997	0	0	0	0	0	0	0	0
astronomical telescope	Astronomical Telescope	-0.1971	0.0692	1	15	30	6	2014.166667	0	1.257861635	0	0	0	0	0	0
atmosphere	Atmosphere	0.0149	0.0341	1	30	120	5	2017.8	0	0	0.653594771	1.587301587	0	0	0	0
auxiliary equipment	Auxiliary Equipment	1.5996	-0.2343	7	17	276	9	2002.444444	2.380952381	0	0	0	0	0	0	0
auxiliary material	Auxiliary Material	-0.5297	-0.0457	2	48	110	8	2016.5	0	1.257861635	0	0	0	0	0	0
bacteria	Bacteria	-0.5119	-0.143	3	25	64	5	2016.6	0	0.628930818	0	0	0	0	0	0
bacterial strain	Bacterial Strain	-0.5288	-0.1471	3	29	72	5	2012.8	0	1.257861635	0	0	0	0	2.941176471	0
bacterium	Bacterium	-0.4988	-0.1915	3	13	36	5	2011.8	0	0.628930818	0.653594771	0	2.127659574	0	0	0
bait	Bait	-0.4304	-0.0174	2	41	158	14	2012.785714	0	3.144654088	0	0	0	0	0	0
ballast tank	Ballast Tank	0.1121	-0.0101	1	38	102	9	2012.888889	0	0	3.267973856	7.936507937	0	0	0	0
battery	Battery	0.0289	0.0337	1	45	150	11	2014.090909	0	0	1.960784314	0	0	0	2.941176471	10.52631579
bean pulp	Bean Pulp	-0.5667	-0.0633	2	40	94	5	2017	0	1.257861635	0	0	0	0	0	0
betaine	Betaine	-0.5518	-0.0298	2	51	202	12	2015.416667	0	1.257861635	0	0	0	0	0	0
BICYCLE TOUR	Bicycle Tour	-0.3581	0.7424	5	17	238	7	2009	0	0	3.267973856	0	0	0	0	0
biomass	Biomass	-0.479	-0.1795	3	20	98	7	2002.714286	0	0	0	0	0	0	0	0
biotechnology	Biotechnology	-0.5968	-0.1429	3	24	82	9	2001.666667	0.595238095	0.628930818	0	0	0	0	2.941176471	0
blow-by gas	Blow-By Gas	-0.6932	0.8003	4	10	100	6	2016	0	0	0	0	0	0	0	0
body	Body	-0.2273	-0.0404	1	72	186	19	2010	0	3.144654088	1.960784314	1.587301587	0	0	5.882352941	5.263157895
bottom	Bottom	0.0615	-0.0549	1	130	428	35	2010.457143	0.595238095	1.257861635	1.960784314	1.587301587	2.127659574	0	2.941176471	0
cabin	Cabin	0.0633	-0.0311	1	31	70	6	2016.333333	0	0.628930818	1.307189542	3.174603175	0	0	0	0
cable	Cable	0.0997	-0.0382	1	60	204	14	2011.357143	0	0.628930818	0	0	0	0	0	15.78947368
calcium chloride	Calcium Chloride	-0.5891	-0.0931	2	13	50	5	2017.4	0	1.886792453	0	0	0	0	0	0
calcium dihydrogen phosphate	Calcium Dihydrogen Phosphate	-0.6258	-0.0516	2	61	346	15	2016.8	0	2.51572327	0	0	0	0	0	0
cancer	Cancer	-0.3651	-0.0543	1	25	128	13	2004.923077	3.571428571	0	0	0	0	0	0	0
carbon	Carbon	0.0899	1.1645	10	39	502	12	2005.416667	1.19047619	1.257861635	0	0	0	0	0	0
catfish	Catfish	-0.7603	-0.1995	3	25	76	6	2006.5	1.785714286	0	0	0	0	0	0	0
cell	Cell	-0.311	-0.2317	6	43	156	11	2008.363636	1.19047619	0	4.575163399	0	12.76595745	0	0	0
centrifuge	Centrifuge	-0.4792	-0.0855	2	48	124	10	2016.5	0	1.257861635	0	0	0	0	0	0
channel	Channel	0.4244	-0.0292	4	31	142	11	2013.727273	4.166666667	0	0	0	0	0	0	0
characterization	Characterization	-0.8955	-0.3047	3	18	156	6	2004	2.976190476	0	0	0	0	0	0	0
chitosan	Chitosan	-0.5077	-0.041	2	26	68	5	2015.2	0	0.628930818	0	0	0	0	0	0
choline chloride	Choline Chloride	-0.6164	-0.0454	2	64	394	21	2015.714286	0	4.402515723	0	0	0	0	0	0
clean	Clean	-0.1722	-0.0387	1	91	302	14	2012.142857	0	1.257861635	0	0	0	0	0	0
coding gene	Coding Gene	-0.5331	-0.1786	3	23	98	9	2016.777778	0	4.402515723	0	0	0	0	0	0
cold region	Cold Region	-0.6602	0.7147	4	20	126	8	2014.5	0	0	0.653594771	0	0	0	0	0
color	Color	-0.4382	0.489	5	56	348	14	2012.428571	0	0.628930818	3.267973856	0	0	0	0	0
combining	Combining	-0.341	-0.0464	1	73	230	18	2011.5	0.595238095	1.886792453	0.653594771	0	0	0	0	0
combustion chamber	Combustion Chamber	-0.6956	0.8045	4	9	90	5	2016	0	0	0	0	0	0	0	0
commercial purposes	Commercial Purposes	-0.9268	-0.4816	3	27	402	12	2007.416667	2.380952381	0	0	0	0	0	0	0
component	Component	-0.3301	-0.0439	2	148	748	57	2015.561404	2.380952381	5.660377358	0	0	0	0	0	10.52631579
compound	Compound	-0.9156	-0.0126	5	105	548	38	2011.789474	2.380952381	2.51572327	7.189542484	0	29.78723404	0	2.941176471	0
COMPOUND FEED	Compound Feed	-0.6218	-0.0333	2	52	268	12	2016.666667	0	2.51572327	0	0	0	0	0	0
COMPOUND RAMALIN	Compound Ramalin	-1.1905	0.0673	5	10	104	7	2009	0	0	3.267973856	0	12.76595745	0	0	0
comprehensive utilization	Comprehensive Utilization	-0.3802	-0.0717	1	29	66	5	2013.2	0	1.886792453	0	0	0	0	0	0
computer	Computer	0.1172	1.1724	10	36	488	13	2005.769231	1.19047619	0.628930818	0	0	0	0	0	0
condenser	Condenser	-0.2932	0.0069	2	58	136	9	2012.666667	0	0.628930818	1.960784314	1.587301587	0	0	0	0
conductor pipes	Conductor Pipes	0.4423	0.2694	4	6	36	5	1998.2	0	0	0	0	0	0	0	0
conjunction	Conjunction	0.1287	-0.2639	6	13	120	5	2007.4	0	0	0	0	0	0	0	0
CONSTRUCTION MODULE	Construction Module	0.1287	-0.2635	6	13	120	5	2007.4	0	0	0	0	0	0	0	0
consumer	Consumer	-0.0209	-0.0366	1	33	78	5	2007.6	0	0.628930818	0	0	0	0	0	0
container	Container	0.0357	-0.052	1	36	98	7	2010.714286	0	0.628930818	0.653594771	0	0	0	0	0
CONTAINING RAMALIN	Containing Ramalin	-1.3963	0.1206	5	24	324	11	2010.727273	0	0	5.882352941	0	21.27659574	0	0	0
CONTAMINANT	Contaminant	-0.093	-0.0652	1	21	54	5	2006.8	1.785714286	0	0	0	0	0	0	0
control device	Control Device	0.0222	-0.0156	1	13	42	6	2012	0	0.628930818	0	0	0	0	0	5.263157895
control system	Control System	0.0343	0.0145	1	37	112	7	2015.857143	0	0	1.307189542	3.174603175	0	0	0	0
convenience	Convenience	-0.1684	-0.0467	1	67	150	9	2013.111111	0	1.886792453	1.307189542	0	0	0	0	0
conventional jack	Conventional Jack	2.8389	-0.1935	8	27	736	21	2011.095238	7.142857143	0	0	0	0	47.36842105	0	0
conventional jack-up rig	Conventional Jack-Up Rig	2.9213	-0.189	8	32	946	27	2011.111111	11.9047619	0	0	0	0	31.57894737	0	0
conversion rate	Conversion Rate	-0.6127	-0.0671	2	27	80	5	2016.2	0	0	0	0	0	0	0	0
cooking	Cooking	0.0276	1.0907	10	51	520	14	2007.142857	1.19047619	0	0	0	0	0	0	0
cooling	Cooling	-0.1515	0.0123	1	106	370	23	2013.869565	0	0	5.882352941	4.761904762	0	0	0	0
corn protein powder	Corn Protein Powder	-0.6263	-0.0247	2	41	170	6	2016.333333	0	1.257861635	0	0	0	0	0	0
CORRESPONDING AMINO ACID SEQUENCE	Corresponding Amino Acid Sequence	-0.9277	-0.4813	3	27	402	12	2007.416667	2.380952381	0	0	0	0	0	0	0
cosmetic	Cosmetic	-0.5788	-0.1737	3	39	138	16	2015.8125	0	2.51572327	1.960784314	0	4.255319149	0	0	0
cost	Cost	-0.0877	0.4951	10	147	872	37	2012	2.380952381	1.257861635	0.653594771	1.587301587	0	5.263157895	8.823529412	0
CPD photolyase	Cpd Photolyase	-0.6323	-0.1955	3	12	58	5	2016.6	0	1.257861635	0	0	0	0	0	0
crude oil	Crude Oil	-0.2459	-0.0533	1	33	106	8	2012.125	2.976190476	0	0	0	0	0	0	0
cryogenic environment	Cryogenic Environment	0.0018	-0.0387	1	35	88	6	2014.833333	0	0	2.614379085	6.349206349	0	0	0	0
cryogenic temperature	Cryogenic Temperature	0.0096	0.0126	1	30	112	5	2017.2	0	0	0.653594771	1.587301587	0	0	0	0
culture	Culture	-0.5212	-0.1806	3	44	172	17	2011.647059	1.785714286	1.886792453	2.614379085	0	8.510638298	0	2.941176471	0
culture media	Culture Media	-0.6062	-0.1953	3	43	196	14	2008.428571	2.976190476	3.773584906	0	0	0	0	0	0
culture medium	Culture Medium	-0.519	-0.1458	3	23	50	7	2011	0	0.628930818	1.960784314	0	4.255319149	0	0	0
cutaneous photoprotection	Cutaneous Photoprotection	-0.5858	-0.2823	3	8	80	6	2009	0	0	0	0	0	0	0	0
damage	Damage	-0.095	-0.0132	1	96	266	17	2014.588235	0.595238095	0	3.921568627	7.936507937	2.127659574	2.631578947	0	0
danger	Danger	0.2897	-0.0754	1	27	68	5	2011.8	0	0	1.307189542	0	0	0	0	0
data	Data	0.0243	-0.0225	1	53	140	17	2015.588235	1.785714286	2.51572327	1.307189542	1.587301587	0	5.263157895	2.941176471	0
DATUM	Datum	0.0178	-0.0273	1	14	44	8	2017.125	0	1.886792453	0	0	0	0	2.941176471	10.52631579
deck	Deck	0.1237	-0.2056	6	33	176	11	2010.090909	0	0	2.614379085	3.174603175	0	0	0	0
DEFENSIVE CONFIGURATION	Defensive Configuration	2.876	-0.1867	8	32	1456	42	2011.119048	16.66666667	0	0	0	0	68.42105263	0	0
deforestation	Deforestation	0.1562	1.3899	10	24	464	10	2004.1	1.19047619	0	0	0	0	0	0	0
deformation	Deformation	0.1313	0.0329	1	35	156	10	2009.5	0	0	1.960784314	4.761904762	0	0	0	0
deionized water	Deionized Water	-0.3872	-0.0478	2	37	94	7	2014.571429	0	0.628930818	0	0	0	0	0	5.263157895
density	Density	-0.2794	-0.0697	3	33	118	11	2003.272727	0	1.886792453	0	0	0	0	0	0
dephosphorylation	Dephosphorylation	-0.8947	-0.3044	3	18	156	6	2004	2.976190476	0	0	0	0	0	0	0
derrick	Derrick	0.3149	0.0478	9	30	200	14	2011.214286	1.785714286	0	7.189542484	15.87301587	0	0	0	0
Deschampsia antarctica	Deschampsia Antarctica	-0.5724	-0.2639	3	13	110	8	2009.75	0	0	0	0	0	0	0	0
desert	Desert	-0.0958	0.0282	1	33	146	12	2005.666667	0	0.628930818	1.960784314	0	0	0	0	0
detection	Detection	-0.1927	-0.0554	1	27	118	10	2013.8	1.785714286	0.628930818	0	0	0	0	0	0
device	Device	0.0591	-0.0404	1	135	556	57	2012.210526	1.785714286	2.51572327	1.307189542	1.587301587	0	0	5.882352941	21.05263158
DHA	Dha	-0.4782	-0.0346	2	69	238	15	2015.8	0	1.257861635	0.653594771	0	0	0	0	0
diameter	Diameter	0.0019	-0.0621	1	58	126	9	2012	0	0.628930818	0	0	0	0	0	0
diesel fuel	Diesel Fuel	-0.0616	0.0466	1	31	102	10	2007.6	1.785714286	0	0	0	0	0	0	0
digestion	Digestion	-0.5999	-0.0349	2	41	112	6	2017.833333	0	1.257861635	0	0	0	0	0	0
DIOXIDE EMISSION	Dioxide Emission	0.1618	1.3905	10	24	464	10	2004.1	1.19047619	0	0	0	0	0	0	0
disease	Disease	-0.9592	0.002	5	66	314	13	2011.153846	0	1.257861635	2.614379085	0	8.510638298	0	0	0
DISEASE CONTAINING RAMALIN	Disease Containing Ramalin	-1.5048	0.1415	5	19	276	8	2011.375	0	0	4.575163399	0	14.89361702	0	0	0
dissipation	Dissipation	-0.5859	-0.2823	3	8	80	6	2009	0	0	0	0	0	0	0	0
distance	Distance	0.1165	-0.0304	1	42	142	12	2006.5	0	1.257861635	0	0	0	0	2.941176471	0
DNA sequence	Dna Sequence	-0.7843	-0.3841	3	32	294	14	2008	1.19047619	0	0	0	0	0	0	0
DNA SEQUENCE ENCODING	Dna Sequence Encoding	-0.925	-0.4841	3	22	250	8	2008.75	1.19047619	0	0	0	0	0	0	0
dried antarctic krill	Dried Antarctic Krill	-0.4119	0.007	2	48	208	11	2013.545455	0	4.402515723	0	0	0	0	0	0
DRILL	Drill	1.0719	-0.3367	7	109	964	36	2009.527778	4.761904762	0	1.307189542	0	0	0	2.941176471	0
drill floor	Drill Floor	0.4067	0.1012	9	15	168	6	2011	1.19047619	0	3.921568627	6.349206349	0	0	0	0
drill ship	Drill Ship	0.347	0.0799	9	36	274	13	2010.923077	2.380952381	0	7.189542484	12.6984127	0	2.631578947	0	0
drilling location	Drilling Location	0.9352	0.0411	4	9	74	5	2016.2	0	0	0	0	0	0	0	0
drilling offshore wells	Drilling Offshore Wells	0.6249	0.025	9	11	108	5	2007	1.785714286	0	0	0	0	0	0	0
drilling oil	Drilling Oil	1.2647	-0.1859	7	19	202	9	2007.333333	3.571428571	0	0	0	0	0	0	0
drilling operation	Drilling Operation	0.3592	0.0738	9	32	202	7	2010.571429	1.19047619	0	3.921568627	6.349206349	0	0	0	0
drilling platform	Drilling Platform	1.5647	-0.6879	7	25	556	14	2008.714286	2.976190476	0	0	0	0	0	0	0
drilling rig	Drilling Rig	0.215	-0.0286	1	31	94	5	2004	0	0	0	0	0	0	0	0
drilling season	Drilling Season	2.885	-0.1896	8	37	1682	48	2011.104167	19.04761905	0	0	0	0	78.94736842	0	0
drilling unit	Drilling Unit	2.0127	-0.1583	8	55	1672	51	2011.372549	24.4047619	0	0	0	0	73.68421053	0	0
drilling work area	Drilling Work Area	0.4072	0.1009	9	15	168	6	2011	1.19047619	0	3.921568627	6.349206349	0	0	0	0
drilling workspace	Drilling Workspace	0.4067	0.1003	9	15	168	6	2011	1.19047619	0	3.921568627	6.349206349	0	0	0	0
drillship	Drillship	0.2971	0.0566	9	17	92	6	2011.166667	1.19047619	0	2.614379085	6.349206349	0	0	0	0
drugs	Drugs	-0.6968	-0.3149	3	31	212	9	2006.888889	1.19047619	0	0	0	0	0	0	0
EARNING EMISSION CREDIT	Earning Emission Credit	0.1566	1.3914	10	24	464	10	2004.1	1.19047619	0	0	0	0	0	0	0
Earth	Earth	-0.1526	0.3615	5	78	470	20	2009.2	1.19047619	1.886792453	3.267973856	0	0	0	0	0
economic benefit	Economic Benefit	-0.3093	-0.0352	1	41	102	7	2015	0	0.628930818	0	0	0	0	0	0
effect	Effect	-0.1531	-0.0561	1	230	1226	80	2007.3125	0.595238095	5.031446541	1.307189542	0	0	0	0	0
efficient	Efficient	-0.5262	-0.1741	3	88	358	19	2010.526316	2.976190476	2.51572327	0.653594771	1.587301587	0	0	0	5.263157895
egg	Egg	-0.4172	-0.0985	3	14	44	6	2011.666667	0	1.886792453	0	0	0	0	0	10.52631579
electric energy	Electric Energy	0.0065	0.025	1	44	112	8	2009.5	0	0.628930818	0	0	0	0	0	0
electric power	Electric Power	0.0001	0.0213	1	27	86	6	2015.5	0	0	0.653594771	0	0	0	0	0
electricity	Electricity	0.1479	0.9709	10	41	338	10	2007.8	0.595238095	0	1.307189542	0	0	0	0	0
embodiment	Embodiment	0.0087	-0.1174	6	59	234	18	2011.555556	6.547619048	0	2.614379085	3.174603175	0	0	0	0
emergency	Emergency	0.0978	0.028	1	40	118	7	2014.428571	0	0	3.921568627	6.349206349	0	0	0	0
emission	Emission	0.0865	1.2513	10	38	492	11	2004.909091	1.19047619	0	0	0	0	0	0	0
emission credits	Emission Credits	0.1594	1.3923	10	24	464	10	2004.1	1.19047619	0	0	0	0	0	0	0
ENABLING WORLDWIDE REDUCTION	Enabling Worldwide Reduction	0.1588	1.3903	10	24	464	10	2004.1	1.19047619	0	0	0	0	0	0	0
enclosed derrick	Enclosed Derrick	0.3145	0.0437	9	8	88	7	2011	1.19047619	0	3.921568627	7.936507937	0	0	0	0
energy	Energy	-0.0954	-0.0034	1	100	330	21	2011.666667	0	3.144654088	2.614379085	6.349206349	0	0	0	0
energy consumption	Energy Consumption	-0.1672	-0.0284	2	57	132	10	2015.8	0	0	0	0	0	0	0	0
engine	Engine	0.1072	-0.0205	1	58	190	13	2006.692308	0	0	2.614379085	6.349206349	0	0	0	0
engine device	Engine Device	-0.6931	0.8004	4	10	100	6	2016	0	0	0	0	0	0	0	0
enhanced reliability	Enhanced Reliability	0.2343	-0.0912	1	19	72	6	1998	0	0	0	0	0	0	0	0
environment	Environment	-0.0007	-0.03	1	81	320	24	2008.541667	2.380952381	1.886792453	0.653594771	1.587301587	0	0	0	5.263157895
environmental destruction	Environmental Destruction	-0.3578	0.7401	5	17	238	7	2009	0	0	3.267973856	0	0	0	0	0
environment-friendly	Environment-Friendly	-0.3574	-0.0016	2	43	114	6	2013.833333	0	0.628930818	0	0	0	0	0	0
enzymatic hydrolysate	Enzymatic Hydrolysate	-0.5107	-0.0528	2	41	122	6	2015.166667	0	1.886792453	0	0	0	0	0	0
enzyme	Enzyme	-0.6444	-0.2342	3	119	626	33	2010.181818	2.380952381	4.402515723	1.960784314	0	4.255319149	0	0	0
enzymolysis	Enzymolysis	-0.5053	-0.0376	2	60	220	15	2016.933333	0	3.144654088	0	0	0	0	0	0
EPA	Epa	-0.4814	-0.0296	2	50	160	10	2016.2	0	0.628930818	0.653594771	0	0	0	0	0
equator	Equator	0.1286	1.1401	10	36	496	14	2006.714286	1.19047619	1.257861635	0	0	0	0	0	0
